"country","countrycode","year","month","cpi_sa","cpi_yoy_nsa","exchange_rate_neer","exchange_rate_reer","exchnage_rate_vs_usd","ind_prod_const","ind_prod_const_sa","time","usa_imp_sa","usa_ip_sa","chn_ip_sa","ln_ip","ln_usa_ip","ln_chn_ip","ln_usa_imports","ln_er_usd","cc"
"Singapore","SGP",2003,12,88.17151878163,0.74539763383,87.95889540546,90.44760391304,1.71034782609,3479053081.72375,3194355511.51451,527,111017,255096288889.992,100346655172.798,21.8846511865923,26.2649069143207,25.3318965800219,11.6174386217209,0.536696756900331,"SGP"
"Philippines","PHL",2004,1,70.83641746854,4.20021116537,90.6078246053,74.3123975,55.54727272727,6389750810.78571,6280899210.70874,528,110890,255764801776.701,100740842095.447,22.5607789935949,26.2675241160631,25.3358171363261,11.6162939979473,4.01723441906168,"PHL"
"Thailand","THA",2004,1,82.49392334001,1.5223145613,89.82170363636,85.12424863636,39.12354545455,8225941196.21266,8203924687.77266,528,110890,255764801776.701,100740842095.447,22.8278784971745,26.2675241160631,25.3358171363261,11.6162939979473,3.66672447128873,"THA"
"Singapore","SGP",2004,1,88.87728095835,1.36627214235,87.62234156237,90.11561022727,1.69763636364,3542462311.64581,3826068257.77956,528,110890,255764801776.701,100740842095.447,22.0651035483123,26.2675241160631,25.3358171363261,11.6162939979473,0.529236909265506,"SGP"
"Malaysia","MYS",2004,1,84.78223065442,1.0052544556,93.20454505481,92.34739772727,3.8,7361160387.90792,7541322203.21826,528,110890,255764801776.701,100740842095.447,22.7436633621098,26.2675241160631,25.3358171363261,11.6162939979473,1.33500106673234,"MYS"
"Singapore","SGP",2004,2,89.32418628407,1.84766064456,88.07762722958,91.695781,1.68655,3328052082.23288,3438506583.51963,529,113977,257292216578.193,101855677107.905,21.9583030813711,26.2734783054003,25.3468227179569,11.6437519526355,0.522685022278438,"SGP"
"Philippines","PHL",2004,2,71.0629612184,4.09212623002,89.49613193933,73.53636925,56.1315,6368754915.46002,6167024179.859,529,113977,257292216578.193,101855677107.905,22.5424822537944,26.2734783054003,25.3468227179569,11.6437519526355,4.02769715227421,"PHL"
"Thailand","THA",2004,2,82.88408046231,2.36028336995,89.8199545,85.65071175,39.082,8247938632.22339,8259726999.89029,529,113977,257292216578.193,101855677107.905,22.8346573730724,26.2734783054003,25.3468227179569,11.6437519526355,3.66566200293775,"THA"
"Malaysia","MYS",2004,2,84.8309966242,0.91317945677,92.96690291113,92.20545225,3.8,7199154107.01861,7627517031.60695,529,113977,257292216578.193,101855677107.905,22.7550282074739,26.2734783054003,25.3468227179569,11.6437519526355,1.33500106673234,"MYS"
"Philippines","PHL",2004,3,71.45773052509,4.22521387794,89.98365389224,74.03563347826,56.3202173913,6592711132.2674,5976543267.82838,530,118678,256020267280.472,104448782124.387,22.5111081889162,26.2685224473566,25.37196266499,11.6841692222237,4.03105357177309,"PHL"
"Malaysia","MYS",2004,3,84.93533228452,1.03723309268,93.94677755407,92.76936217391,3.8,7847179230.57584,7579516088.02749,530,118678,256020267280.472,104448782124.387,22.7487151939332,26.2685224473566,25.37196266499,11.6841692222237,1.33500106673234,"MYS"
"Singapore","SGP",2004,3,89.05488229558,1.36618880888,88.26351094518,90.91576043478,1.69982608696,3571680290.13931,3342940095.5994,530,118678,256020267280.472,104448782124.387,21.9301165248698,26.2685224473566,25.37196266499,11.6841692222237,0.53052594404075,"SGP"
"Thailand","THA",2004,3,82.99745713237,2.54915233672,89.94858130435,85.78743565217,39.44943478261,8641692736.81547,7881130453.39177,530,118678,256020267280.472,104448782124.387,22.7877371890793,26.2685224473566,25.37196266499,11.6841692222237,3.67501971975224,"THA"
"Philippines","PHL",2004,4,71.86595787632,4.27990235964,90.55631907587,74.49721045455,55.97409090909,6410746706.1114,6114343165.73847,531,118542,257172013335.893,104710253194.522,22.5339031867003,26.2730110105429,25.3744628792977,11.6830226071415,4.02488892133623,"PHL"
"Thailand","THA",2004,4,83.0031488393,2.46241379028,90.03636363636,85.89580681818,39.43318181818,7733198629.5723,8636520780.26616,531,118542,257172013335.893,104710253194.522,22.8792656511928,26.2730110105429,25.3744628792977,11.6830226071415,3.67460763999727,"THA"
"Singapore","SGP",2004,4,89.17328318707,1.29484829705,89.14020403821,92.047095,1.6845,3649636343.39643,3637004874.67113,531,118542,257172013335.893,104710253194.522,22.0144263432504,26.2730110105429,25.3744628792977,11.6830226071415,0.521468783864471,"SGP"
"Malaysia","MYS",2004,4,85.05948128487,1.02352664551,93.93996664895,92.64206727273,3.8,7644671379.46421,7577990718.3725,531,118542,257172013335.893,104710253194.522,22.7485139247298,26.2730110105429,25.3744628792977,11.6830226071415,1.33500106673234,"MYS"
"Singapore","SGP",2004,5,89.38570831592,2.1842405584,89.07458065668,91.85305928571,1.71119047619,3678916487.80162,3734032251.57868,532,120671,259217350832.398,104792231737.361,22.040754519302,26.280932739124,25.3752454814425,11.7008231130972,0.537189313196705,"SGP"
"Malaysia","MYS",2004,5,85.20385376808,1.10232371385,95.42831859667,94.10389428571,3.8,7695298342.24212,7703268161.31186,532,120671,259217350832.398,104792231737.361,22.7649105122923,26.280932739124,25.3752454814425,11.7008231130972,1.33500106673234,"MYS"
"Philippines","PHL",2004,5,72.28652176839,4.48547529503,92.08874733635,75.98052380952,55.82738095238,6508727550.96463,5962488005.49269,532,120671,259217350832.398,104792231737.361,22.5087536815014,26.280932739124,25.3752454814425,11.7008231130972,4.02226444710566,"PHL"
